Title,Author(s),First Published Year,ISBN-10,ISBN-13,Publisher,Language
"World's best science fiction, 1970",Donald A. Wollheim,1970,N/A,N/A,N/A,eng
Anakin Skywalker,Todd Strasser,1999,N/A,N/A,N/A,eng
House rules,Jodi Picoult,2010,N/A,N/A,N/A,eng
Star Wars - Coruscant Nights II - Street of Shadows,Michael Reaves,2008,N/A,N/A,N/A,eng
Worldwired,Elizabeth Bear,2005,N/A,N/A,N/A,eng
Arachne,Lisa Mason,1990,N/A,N/A,N/A,eng
The sandcastle empire,Kayla Olson,2017,N/A,N/A,N/A,eng
Dead Space,"Antony Johnston, Ben Templesmith",2008,N/A,N/A,N/A,eng
Prism,"Faye Kellerman, Aliza Kellerman",2009,N/A,N/A,N/A,eng
The Night of the Long Knives (Dover Doomsday Classics),Fritz Leiber,2009,N/A,N/A,N/A,eng
In the company of others,Julie E. Czerneda,2001,N/A,N/A,N/A,eng
A Separate War and Other Stories,Joe Haldeman,2006,N/A,N/A,N/A,eng
Star Wars - Han and Chewie Adventure,Cavan Scott,2018,N/A,N/A,N/A,eng
Tarnished,Kate Jarvik Birch,2015,N/A,N/A,N/A,eng
Rim,Alexander Besher,1994,N/A,N/A,N/A,eng
The Bone House (Bright Empires #2),Stephen R. Lawhead,2011,N/A,N/A,N/A,eng
Documents relating to the sentimental agents in the Volyen Empire,Doris Lessing,1983,N/A,N/A,N/A,eng
Temptation of the Warrior,Margo Maguire,2008,N/A,N/A,N/A,eng
Fool's run,Patricia A. McKillip,1987,N/A,N/A,N/A,eng
The Best of Trek (Star Trek),Walter Irwin,1978,N/A,N/A,N/A,eng
The Rift,Walter J. Williams,2000,N/A,N/A,N/A,eng
Transformers,Jim Sorenson,2013,N/A,N/A,N/A,eng
Found,Margaret Peterson Haddix,2009,N/A,N/A,N/A,eng
Slaughterhouse-five ; The sirens of Titan ; Player-piano ; cat's cradle ; Breakfast of champions ; Mother night,Kurt Vonnegut,1980,N/A,N/A,N/A,eng
Firehand,"Andre Norton, P.M. Griffin",1994,N/A,N/A,N/A,eng
Nil unlocked,Lynne Matson,2015,N/A,N/A,N/A,eng
Soulful Sex,Diana Laurence,2004,N/A,N/A,N/A,eng
A wizard in absentia,Christopher Stasheff,1993,N/A,N/A,N/A,eng
Teen Titans,Jeff Lemire,2014,N/A,N/A,N/A,eng
Star Trek - Recovery,J. M. Dillard,1995,N/A,N/A,N/A,eng
Pure (Pure #1),Julianna Baggott,2012,N/A,N/A,N/A,eng
Star Wars - The Last Jedi - Cobalt Squadron,"Elizabeth Wein, Phil Noto",2017,N/A,N/A,N/A,"eng, pol"
"Washington's Dirigible (Timeline Wars/John Barnes, No 2)",John Barnes,1997,N/A,N/A,N/A,eng
Orphans of earth,"Sean Williams, Shane Dix",2003,N/A,N/A,N/A,eng
Starcrossed,Ben Bova,1975,N/A,N/A,N/A,eng
Time's Child,Rebecca Ore,2007,N/A,N/A,N/A,eng
Fragments,Dan Wells,2013,N/A,N/A,N/A,eng
Dr. Slump,"Akira Toriyama, Frances Wall",2005,N/A,N/A,N/A,eng
The Simoqin Prophecies,Samit Basu,2005,N/A,N/A,N/A,eng
The Tuloriad,John Ringo,2009,N/A,N/A,N/A,eng
Star Trek Adventures - Starless World,Gordon Eklund,1978,N/A,N/A,N/A,eng
Railhead,Philip Reeve,2015,N/A,N/A,N/A,eng
Winx club,Michael Anthony Steele,2005,N/A,N/A,N/A,eng
Empress,S. J. Kincaid,2017,N/A,N/A,N/A,eng
The furies,Suzy McKee Charnas,1994,N/A,N/A,N/A,eng
There's an Alien in My Backpack,Bruce Coville,2000,N/A,N/A,N/A,eng
Willful machines,Tim Floreen,2015,N/A,N/A,N/A,eng
Worlds of Star Trek Deep Space Nine - Volume Three - Ferenginar and The Dominion,"Keith R. A. DeCandido, David R. George III",2005,N/A,N/A,N/A,eng
Invaders from earth,Robert Silverberg,1968,N/A,N/A,N/A,eng
Everfree,Nick Sagan,2006,N/A,N/A,N/A,eng
Star Wars,J. J. Gardner,1997,N/A,N/A,N/A,eng
The eternal prison,Jeff Somers,2009,N/A,N/A,N/A,eng
Shattered Empire,Greg Rucka,2015,N/A,N/A,N/A,eng
Метро 2033,Dmitriĭ Glukhovskiĭ,2007,N/A,N/A,N/A,rus
The Changed Man,Orson Scott Card,1992,N/A,N/A,N/A,"fre, eng"
The Gauntlet (Justice League (TM)),Louise Simonson,2002,N/A,N/A,N/A,eng
Galaxy blues,Allen M. Steele,2008,N/A,N/A,N/A,eng
Cold Falling White,"Gabrielle Prendergast, G. S. Prendergast",2019,N/A,N/A,N/A,eng
Commander Toad and the Intergalactic Spy,Jane Yolen,1986,N/A,N/A,N/A,eng
Die Glasfalle,Herbert W. Franke,1962,N/A,N/A,N/A,"rum, ger"
"Simon Bloom, the gravity keeper",Michael Reisman,2008,N/A,N/A,N/A,eng
A history maker,Alasdair Gray,1994,N/A,N/A,N/A,"spa, eng, fre"
"Juniper, Gentian, And Rosemary",Pamela Dean,1998,N/A,N/A,N/A,eng
Men in Black II,Michael Teitelbaum,2002,N/A,N/A,N/A,eng
"The girl, the dragon, and the wild magic",Dave Luckett,2000,N/A,N/A,N/A,eng
BZRK Reloaded,Michael Grant,2013,N/A,N/A,N/A,eng
Fries Alive!,David Baldacci,2005,N/A,N/A,N/A,"dut, eng"
Dragon's Teeth,Mercedes Lackey,2013,N/A,N/A,N/A,N/A
Potboilers,Jerry Palmer,1991,N/A,N/A,N/A,eng
Acid,Emma Pass,2013,N/A,N/A,N/A,eng
Execution,Alexander Gordon Smith,2012,N/A,N/A,N/A,eng
The Hoth Adventure,"Golden Books, Jay Rudko",1998,N/A,N/A,N/A,eng
The Opal-Eyed Fan,Andre Norton,1977,N/A,N/A,N/A,eng
The invaders plan,L. Ron Hubbard,1985,N/A,N/A,N/A,eng
The Best of Subterranean,"William Schafer, Lewis Shiner, Maria Dahvana Headley, Alastair Reynolds, Michael Marshall Smith, Rachel Swirsky, Michael Bishop, Kage Baker, Cherie Priest, Joe R. Lansdale, Daniel Abraham, Joe Hill, Karen Joy Fowler, Catherynne M. Valente, Kat Howard, Jonathan Carroll, Kelly Link, Hal Duncan, Tim Pratt, William Browning Spencer, Caitlín R. Kiernan, Ian R. MacLeod, Robert Silverberg, George R. R. Martin, John Scalzi, Kelley Armstrong, James P. Blaylock, Harlan Ellison, K. J. Parker, Ted Chiang, Jay Lake",2017,N/A,N/A,N/A,eng
The lovers,Philip José Farmer,1979,N/A,N/A,N/A,eng
The Shepherd Moon,"H. M. (Helen Mary) Hoover, H. M. Hoover",1984,N/A,N/A,N/A,eng
6 great short novels of science fiction,Groff Conklin,1954,N/A,N/A,N/A,eng
The year of the quiet sun,Wilson Tucker,1970,N/A,N/A,N/A,eng
The mutant season,"Robert Silverberg, Haber Silverberg, Karen Haber",1989,N/A,N/A,N/A,"eng, fre, spa"
Nova war,Gary Gibson,2009,N/A,N/A,N/A,eng
The 1978 annual world's best SF,Donald A. Wollheim,1978,N/A,N/A,N/A,eng
Tales from the Planet Earth,"Frederik Pohl, Anne Hull, Ye, Yonglie., Spider Robinson, Andre Carneiro, Somtow Sucharitkul, Lino Aldani, Josef Nesvadba, Harry Harrison, A. Bertram Chandler, Jon Bing, Ljuben Dilov, Brian W. Aldiss, Carlos María Federici, Janusz A. Zajdel, Sam J. Lundwall, Enzheng Tong, Karl Michael Armer, Tetsu Yano",1986,N/A,N/A,N/A,eng
Bards and Sages Quarterly,"Jeff Suwak, Craig Comer, Richard Zwicker, Betty Rocksteady, Milo James Fowler, Ned Thimmayya, Mark William Chase, Janie Brunson, Michelle Ann King, Julie Ann Dawson",2009,N/A,N/A,N/A,eng
The Astounding Science Fiction Anthology,John W. Campbell,1952,N/A,N/A,N/A,eng
SF,"Judith Merril, Judigh Merril, Isaac Asimov",1967,N/A,N/A,N/A,eng
A storm of wings,M. John Harrison,1980,N/A,N/A,N/A,eng
Science fiction,David Pringle,1985,N/A,N/A,N/A,eng
Worldweavers,Alma Alexander,2007,N/A,N/A,N/A,eng
The Ferengi Rules of Acquisition,Ira Steven Behr,1995,N/A,N/A,N/A,"ger, eng"
The secret books of paradys 1 & 2,Tanith Lee,1988,N/A,N/A,N/A,eng
"Looking backward, 2000-1887",Edward Bellamy,1964,N/A,N/A,N/A,"eng, und"
Heartlight,T. A. Barron,1990,N/A,N/A,N/A,eng
Prized,Caragh M. O'Brien,2011,N/A,N/A,N/A,eng
"Ancient, My Enemy",Gordon R. Dickson,1974,N/A,N/A,N/A,eng
Debatable Space,Philip Palmer,2008,N/A,N/A,N/A,eng
Off the Grid,C. J. Box,2016,N/A,N/A,N/A,N/A
Poison Ivy's deadly garden,"Blake A. Hoena, Erik Doescher, Mike DeCarlo, Lee Loughridge",2009,N/A,N/A,N/A,"spa, eng"
Paloma,Kristine Kathryn Rusch,2006,N/A,N/A,N/A,"ger, eng"
Memoirs of a space traveller,Stanisław Lem,1982,N/A,N/A,N/A,eng
Sooner or Later Everything Falls Into the Sea,Sarah Pinsker,2019,N/A,N/A,N/A,eng
Fire Dancer,Ann Maxwell,1982,N/A,N/A,N/A,eng
Fires of Azeroth,C. J. Cherryh,1979,N/A,N/A,N/A,"ger, eng"
Last Book in the Universe,Rodman Philbrick     ,2006,N/A,N/A,N/A,N/A
The Breaking of Northwall,Paul O. Williams,1984,N/A,N/A,N/A,eng
Star Trek Deep Space Nine - Unity,S. D. Perry,2003,N/A,N/A,N/A,eng
The stone key (The Obernewtyn Chronicles #5),Isobelle Carmody,2008,N/A,N/A,N/A,eng
MiNRS 2,Kevin Sylvester,2016,N/A,N/A,N/A,eng
River run,Deirdre Black,2012,N/A,N/A,N/A,eng
Burning paradise,Robert Charles Wilson,2013,N/A,N/A,N/A,N/A
No Time Like Tomorrow,Brian W. Aldiss,1959,N/A,N/A,N/A,N/A
A Chain Across the Dawn,Drew Williams,2019,N/A,N/A,N/A,eng
Firmament of Flame,Drew Williams,2020,N/A,N/A,N/A,eng
Wheelers,"Ian Stewart, Jack Cohen",2000,N/A,N/A,N/A,eng
The Edge of the Abyss,Emily Skrutskie,2017,N/A,N/A,N/A,eng
Book of Dragons,Jonathan Strahan,2020,N/A,N/A,N/A,eng
Necromancer Nine,Sheri S. Tepper,1983,N/A,N/A,N/A,eng
The Peshawar Lancers,S. M. Stirling,2002,N/A,N/A,N/A,eng
The complete Fuzzy,H. Beam Piper,1998,N/A,N/A,N/A,eng
Dark as day,Charles Sheffield,2002,N/A,N/A,N/A,"ger, eng"
The Forgotten Soldier,Brad Taylor,2015,N/A,N/A,N/A,eng
The Ring of Allaire,Susan Dexter,1981,N/A,N/A,N/A,eng
Best ghost stories of Algernon Blackwood,Algernon Blackwood,1973,N/A,N/A,N/A,eng
Nebula Winners Fifteen,Frank Herbert,1981,N/A,N/A,N/A,eng
A treasury of science fiction,Groff Conklin,1948,N/A,N/A,N/A,eng
Heirs of earth,"Sean Williams, Shane Dix",2004,N/A,N/A,N/A,eng
Valor's Trial,Tanya Huff,2008,N/A,N/A,N/A,eng
The Feast of St Dionysus,Robert Silverberg,1975,N/A,N/A,N/A,eng
"Buffy the Vampire Slayer Season Eight, Volume 2",Brian K. Vaughan,2008,N/A,N/A,N/A,eng
My Favorite Science Fiction Story,"Martin H. Greenberg, Frederik Pohl, Cyril M. Kornbluth",1999,N/A,N/A,N/A,eng
Star wars,"John Ostrander, W. Haden Blackman, Jan Duursema, Tomas Giorello",2003,N/A,N/A,N/A,eng
Wool Omnibus,Hugh Howey,2012,N/A,N/A,N/A,eng
Star Trek,"Jackson Lanzing, Collin Kelly, Stephen Thompson, Brandon Easton, Silvia Califano",2008,N/A,N/A,N/A,eng
Der letzte seiner Art,Andreas Eschbach,2003,N/A,N/A,N/A,"dut, ger"
Core,Paul Preuss,1993,N/A,N/A,N/A,eng
Broken Crowns,Lauren DeStefano,2001,N/A,N/A,N/A,eng
Princess of Dune,"Brian Herbert, Kevin J. Anderson",2023,N/A,N/A,N/A,eng
ID,Madeline Ashby,2013,N/A,N/A,N/A,eng
YEAR'S BEST SF #33 (Year's Best Science Fiction),Gardner R. Dozois,2016,N/A,N/A,N/A,eng
The Secret Galactics,A. E. van Vogt,1974,N/A,N/A,N/A,eng
The bug wars,Robert Asprin,1979,N/A,N/A,N/A,eng
A far sunset,Edmund Cooper,1967,N/A,N/A,N/A,eng
Space Case (Moon Base Alpha Book 1),Stuart Gibbs,2014,N/A,N/A,N/A,N/A
Der Elfenbeinturm,Herbert W. Franke,1965,N/A,N/A,N/A,"hun, jpn, ger"
The Rgional Office is Under Attack!,Manuel Gonzales,2016,N/A,N/A,N/A,N/A
Multiversum,Leonardo Patrignani,2012,N/A,N/A,N/A,"fre, eng"
Infernal Devices (Mortal Engines Quartet),Philip Reeve,2006,N/A,N/A,N/A,N/A
They Came from Center Field,Dan Gutman,1995,N/A,N/A,N/A,eng
Cowboys & aliens,Joan D. Vinge,2011,N/A,N/A,N/A,eng
Team Rocket blasts off!,Tracey West,1999,N/A,N/A,N/A,"fre, eng, spa"
City Without End,Kay Kenyon,2009,N/A,N/A,N/A,eng
Superfolks,"Mayer, Robert, Mayer, Robert, Robert Mayer",1977,N/A,N/A,N/A,eng
Night Without Stars,Peter F. Hamilton,2016,N/A,N/A,N/A,"ger, eng"
The cold between,Elizabeth Bonesteel,2016,N/A,N/A,N/A,eng
Shiva Descending,"Gregory Benford, William Rotsler, William Rotsler",1980,N/A,N/A,N/A,eng
Ray Bradbury's Fahrenheit 451,Harold Bloom,2008,N/A,N/A,N/A,eng
An evil guest,Gene Wolfe,2008,N/A,N/A,N/A,eng
The glass arrow,Kristen Simmons,2015,N/A,N/A,N/A,eng
Double Eagle (Gaunt's Ghosts),Dan Abnett,2005,N/A,N/A,N/A,eng
Star Trek - The Janus Gate - Present Tense,L. A. Graf,2002,N/A,N/A,N/A,eng
Elvissey,Jack Womack,1993,N/A,N/A,N/A,eng
Star Trek The Next Generation - Guises of the Mind,Rebecca Neason,1993,N/A,N/A,N/A,eng
Fullmetal Alchemist,"Makoto Inoue, Hiromu Arakawa, Inoue, Makoto",2019,N/A,N/A,N/A,eng
The Lockhorns,Bill Hoest,1982,N/A,N/A,N/A,eng
A small killing,Alan Moore,1991,N/A,N/A,N/A,eng
"A Long, Long Sleep (UniCorp #1)",Anna Sheehan,2011,N/A,N/A,N/A,eng
Star Wars - Galaxy of Fear - The Brain Spiders,John Whitman,1997,N/A,N/A,N/A,eng
The Time of the Transference,Alan Dean Foster,1986,N/A,N/A,N/A,eng
Berserker,"S. D. Perry, Paul Mendoza, John Wagner",1998,N/A,N/A,N/A,eng
Into the Fire (Vatta's Peace),Elizabeth Moon,2018,N/A,N/A,N/A,eng
An Ancient Peace (Peacekeeper),Tanya Huff,2015,N/A,N/A,N/A,eng
Earthbound,Joe Haldeman,2011,N/A,N/A,N/A,eng
The spirit well,"Stephen R. Lawhead, Simon Bubb",2012,N/A,N/A,N/A,eng
Doctor Who and the Abominable Snowmen ..,"Terrance Dicks, Terrance Dicks",1974,N/A,N/A,N/A,eng
Doctor Who and the Revenge of the Cybermen,"Terrance Dicks, David Mann",1976,N/A,N/A,N/A,eng
Oh No! (Or How My Science Project Destroyed the World),Mac Barnett,2010,N/A,N/A,N/A,N/A
The Supergirl storybook,Wendy Andrews,1984,N/A,N/A,N/A,eng
Star Trek Voyager - Ragnarok,Nathan Archer,1995,N/A,N/A,N/A,eng
Star Trek The Next Generation - Starfleet Academy - Atlantis Station,V. E. Mitchell,1994,N/A,N/A,N/A,eng
The silver wolf,Alice Borchardt,1999,N/A,N/A,N/A,eng
Ursula K. Le Guin,Harold Bloom,1986,N/A,N/A,N/A,eng
George Orwell's 1984,Ralph A. Ranald,1965,N/A,N/A,N/A,eng
Star Trek - Destiny - Lost Souls,David Alan Mack,2008,N/A,N/A,N/A,eng
Interstellar Empire,John Brunner,1976,N/A,N/A,N/A,"eng, fre"
The Patrimony,Robert Adams,1980,N/A,N/A,N/A,eng
Mindkiller,Spider Robinson,1982,N/A,N/A,N/A,eng
The soul of the robot,Barrington J. Bayley,1974,N/A,N/A,N/A,"ger, eng"
Honeymoon in hell,Fredric Brown,1958,N/A,N/A,N/A,eng
Human Division #2,John Scalzi,2013,N/A,N/A,N/A,eng
Human Division #3,John Scalzi,2013,N/A,N/A,N/A,eng
Human Division #4,John Scalzi,2013,N/A,N/A,N/A,eng
Human Division #11,John Scalzi,2013,N/A,N/A,N/A,eng
The Sleeper Awakes & Men Like Gods,"H. G. Wells, Amanda Montaneda, Eric Flint",1900,N/A,N/A,N/A,eng
City under the sea,Kenneth Bulmer,1969,N/A,N/A,N/A,eng
Quadruplet Power,Rachel Forsman,2022,N/A,N/A,N/A,eng
Willful Child,Steven Erikson,2016,N/A,N/A,N/A,eng
Marlagans,Alton Bryant,2021,N/A,N/A,N/A,eng
Ancient Echoes,Robert Holdstock,1986,N/A,N/A,N/A,eng
Hunger Makes the Wolf,Alex Wells,2017,N/A,N/A,N/A,eng
Descent of Angels,Mitchel Scanlon,2014,N/A,N/A,N/A,eng
Linesman,S. K. Dunstall,2015,N/A,N/A,N/A,N/A
The Mammoth Book of Dieselpunk,Sean Wallace,2015,N/A,N/A,N/A,eng
Ocean of Minutes,Thea Lim,2018,N/A,N/A,N/A,eng
The stone of chastity,Margery Sharp,1948,N/A,N/A,N/A,eng
Paranormal,David Rising,2003,N/A,N/A,N/A,N/A
Afterparty,"Daryl Gregory, Daryl Gregory",2014,N/A,N/A,N/A,eng
"Blue Noon (Midnighters Series, Book 3)",Scott Westerfeld,2008,N/A,N/A,N/A,N/A
Null-A Three,A. E. van Vogt,1985,N/A,N/A,N/A,eng
The rakehells of heaven,"Boyd, John",1969,N/A,N/A,N/A,eng
MOMENT OF THE MAGICIAN (SPELLSINGER S.),Alan Dean Foster,1985,N/A,N/A,N/A,eng
Birthright,Mike Resnick,1982,N/A,N/A,N/A,eng
Jumper,Steven Gould,N/A,N/A,N/A,N/A,N/A
The Spook's Mistake,Joseph Delaney,2008,N/A,N/A,N/A,eng
Captains of souls,Edgar Wallace,1922,N/A,N/A,N/A,eng
Galaxy quest,Ellen Weiss,1999,N/A,N/A,N/A,eng
"Wind from a Foreign Sky (The Tielmaran Chronicles, Book 1)",Katya Reimann,1997,N/A,N/A,N/A,eng
The Corporation Wars: Dissidence,Ken MacLeod,2016,N/A,N/A,N/A,N/A
The Wild (Requiem for Homo Sapiens),David Zindell,1995,N/A,N/A,N/A,N/A
Fall of Colossus,Dennis Feltham Jones,1974,N/A,N/A,N/A,eng
The Interpreter,Brian W. Aldiss,1967,N/A,N/A,N/A,eng
Skylark,Meagan Spooner,2012,N/A,N/A,N/A,eng
The Gods of Mars (Martian Tales of Edgar Rice Burroughs),Edgar Rice Burroughs,2000,N/A,N/A,N/A,eng
Beetle in the anthill,"Аркадий Натанович Стругацкий, Борис Натанович Стругацкий",1980,N/A,N/A,N/A,"ger, eng"
And Chaos Died,Joanna Russ,1970,N/A,N/A,N/A,eng
Black milk,Robert Reed,1989,N/A,N/A,N/A,eng
The Trophy,Bill Baldwin,1989,N/A,N/A,N/A,eng
Quest for the White Witch,Tanith Lee,1978,N/A,N/A,N/A,"ger, eng"
The Chalk Giants,"Keith Roberts, Peter Jones, Luis García Prado",1974,N/A,N/A,N/A,eng
Gathering of Stars,Donald Moffitt,2001,N/A,N/A,N/A,eng
Castle Spellbound,John DeChancie,2002,N/A,N/A,N/A,eng
Crisis!,James Gunn,2002,N/A,N/A,N/A,eng
Isles of the Blest,Morgan Llywelyn,2001,N/A,N/A,N/A,eng
Dreamers,James Gunn,2002,N/A,N/A,N/A,eng
Venus of Shadows,Pamela Sargent,2001,N/A,N/A,N/A,eng
Empress of light,James C. Glass,2011,N/A,N/A,N/A,eng
Midshipman's Hope,David Feintuch,2001,N/A,N/A,N/A,eng
Zemli︠a︡ Sannikova,"Obruchev, V. A.",1951,N/A,N/A,N/A,"rus, eng"
Second Genesis,Donald Moffitt,2001,N/A,N/A,N/A,eng
Crescent in the Sky,Donald Moffitt,2001,N/A,N/A,N/A,eng
Halo: Silent Storm: A Master Chief Story (24),Troy Denning,2019,N/A,N/A,N/A,N/A
The Primarchs,Christian Dunn,2012,N/A,N/A,N/A,eng
Being alien,Rebecca Ore,1989,N/A,N/A,N/A,eng
Achilles' choice,"Larry Niven, Steven Barnes, Boris Vallejo",1991,N/A,N/A,N/A,eng
The City of Gold and Lead,John Christopher,1967,N/A,N/A,N/A,eng
Mighty Morphin Power Rangers,Tony Oliver,1994,N/A,N/A,N/A,eng
Orbitsville,Bob Shaw,1975,N/A,N/A,N/A,eng
Songs from the Stars,Norman Spinrad,1980,N/A,N/A,N/A,eng
Luna,Ian McDonald,2015,N/A,N/A,N/A,eng
After Intelligence,"Nicole Marie, Dylan Charles",2020,N/A,N/A,N/A,eng
The streets of Ankh-Morpork,"Terry Pratchett, Stephen Briggs",1993,N/A,N/A,N/A,"ger, eng"
Time Pressure,Spider Robinson,1987,N/A,N/A,N/A,eng
Einstein See-Saw,Miles John Breuer,2014,N/A,N/A,N/A,eng
Sixty days to live,Dennis Wheatley,1952,N/A,N/A,N/A,"und, eng"
Four-Day Planet,H. Beam Piper,2016,N/A,N/A,N/A,eng
Plague,Jeremiah Donaldson,2006,N/A,N/A,N/A,eng
Dimensional Shift,Michelle Stone,2011,N/A,N/A,N/A,eng
Time Machine,H. Wells,2011,N/A,N/A,N/A,eng
Devils Day,James Blish,1990,N/A,N/A,N/A,eng
Before Adam,Jack London,2016,N/A,N/A,N/A,eng
Scarlet Plague,Jack London,2016,N/A,N/A,N/A,eng
Cosmic Computer,H. Beam Piper,2014,N/A,N/A,N/A,eng
legend of the Starmaker,Philip John Edwards,2009,N/A,N/A,N/A,eng
Motorman,David Ohle,1972,N/A,N/A,N/A,eng
Suicide squad,"Marv Wolfman, David Ayer",2016,N/A,N/A,N/A,eng
Planetside,Michael Mammay,2018,N/A,N/A,N/A,eng
BattleTech,InMediaRes Productions,2024,N/A,N/A,N/A,eng
Scarlet Plague,Jack London,2017,N/A,N/A,N/A,eng
War of the Worlds,H. G. Wells,2019,N/A,N/A,N/A,eng
Time Machine,H. Wells,2009,N/A,N/A,N/A,eng
War of the Worlds,H. Wells,2011,N/A,N/A,N/A,eng
War of the Worlds,H. G. Wells,2016,N/A,N/A,N/A,eng
Obernewtyn (The Obernewtyn Chronicles #1),Isobelle Carmody,2000,N/A,N/A,N/A,eng
Doctor Who and the ark in space,Ian Marter,1977,N/A,N/A,N/A,eng
The prey,Tom Isbell,2015,N/A,N/A,N/A,eng
Star Wars - Galaxy of Fear - Swarm,John Whitman,1998,N/A,N/A,N/A,eng
Eternal journey,Alex Archer,2009,N/A,N/A,N/A,eng
Night runner,Max Turner,2008,N/A,N/A,N/A,eng
Terminal alliance,Jim C. Hines,2017,N/A,N/A,N/A,eng
Titans of Chaos,John C. Wright,2007,N/A,N/A,N/A,eng
Hide me among the graves,Tim Powers,2012,N/A,N/A,N/A,eng
Too many aliens,Bruce Coville,2000,N/A,N/A,N/A,eng
Star wars,"W. Haden Blackman, Ryan Kaufman, Thomas Andrews, Matt Fillbach, Shawn Fillbach",2005,N/A,N/A,N/A,eng
The umbrella conspiracy,Stephani Perry,1998,N/A,N/A,N/A,eng
Ghosts of the Air,Martin Caidin,1991,N/A,N/A,N/A,eng
HORRIBLE IMAGININGS,Fritz Leiber,2004,N/A,N/A,N/A,eng
The hanging mountains,Sean Williams,2005,N/A,N/A,N/A,eng
The Captain,John Norman,1992,N/A,N/A,N/A,eng
The 1972 annual world's best SF,Donald A. Wollheim,1972,N/A,N/A,N/A,eng
Texas hold'em,"George R. R. Martin, Melinda Snodgrass, David Anthony Durham, Max Gladstone, Diana Rowland, Walton Simons, Caroline Spector, William F. Wu, Wild Cards Trust",2018,N/A,N/A,N/A,eng
The Science Fiction Roll of Honor,"Frederik Pohl, Poul Anderson, Isaac Asimov, James Blish, Robert Bloch, John W. Campbell, Arthur C. Clarke, Lester del Rey, Lloyd Arthur Eshbach, Hugo Gernsback, Robert A. Heinlein, Fritz Leiber, Willy Ley, Frank R. Paul, E. E. Smith, Theodore Sturgeon, A. E. van Vogt, E. Mayne Hull",1975,N/A,N/A,N/A,eng
Twilight at the Well of Souls,Jack L. Chalker,1980,N/A,N/A,N/A,eng
Europe at Midnight,Dave Hutchinson,2015,N/A,N/A,N/A,eng
Dancer's Luck,Ann Maxwell,1983,N/A,N/A,N/A,eng
Star Trek Voyager - The Nanotech War,Steven Piziks,2002,N/A,N/A,N/A,eng
Future Americas,John Helfers,2008,N/A,N/A,N/A,eng
Spindrift,Allen M. Steele,2007,N/A,N/A,N/A,eng
Plague war,Jeff Carlson,1967,N/A,N/A,N/A,eng
Infinity Engine: Transformation Book Three,Neal L. Asher,N/A,N/A,N/A,N/A,N/A
Angelmass,Timothy Zahn,2001,N/A,N/A,N/A,eng
Time Traders II,Andre Norton,2001,N/A,N/A,N/A,eng
The issue at hand,James Blish,1964,N/A,N/A,N/A,eng
Pluto in the Morning Light Volume One To Be Continued,Robert Silverberg,1992,N/A,N/A,N/A,eng
Timebound,Rysa Walker,2014,N/A,N/A,N/A,N/A
Horde,Ann Aguirre,2013,N/A,N/A,N/A,eng
TekLab,William Shatner,1991,N/A,N/A,N/A,eng
The Incal,Alejandro Jodorowsky,2015,N/A,N/A,N/A,eng
Stories for Chip: A Tribute to Samuel R. Delany,"Nisi Shawl, Bill Campbell, Bill Campbell",2015,N/A,N/A,N/A,eng
Star Trek Deep Space Nine - The Captain's Table - The Mist,"Dean Wesley Smith, Kristine Kathryn Rusch",1998,N/A,N/A,N/A,eng
Zarsthor's Bane,Andre Norton,1978,N/A,N/A,N/A,eng
The Alchemists of Loom (The Loom Saga),Elise Kova,2017,N/A,N/A,N/A,N/A
Criminal minds,Max Allan Collins,2007,N/A,N/A,N/A,eng
The devil delivered and other tales,Steven Erikson,2012,N/A,N/A,N/A,eng
The ethos effect,"L. E. Modesitt, Jr.",2003,N/A,N/A,N/A,eng
Mr. Spaceman,"Robert Olen Butler, Gabrielle de Cuir",2000,N/A,N/A,N/A,eng
The  Lives We Lost the Fallen World Trilogy,Megan Crewe,2013,N/A,N/A,N/A,N/A
Steampunk Prime,"Michael Ashley, Paul Di Filippo",2010,N/A,N/A,N/A,eng
Savage Pellucidar,Edgar Rice Burroughs,1963,N/A,N/A,N/A,eng
Platinum Pohl,Frederik Pohl,2005,N/A,N/A,N/A,eng
"The Game of Lives (The Mortality Doctrine, Book Three)",James Dashner,2017,N/A,N/A,N/A,N/A
Powder,Kevin Sampson,1999,N/A,N/A,N/A,"spa, eng"
Saratoga,Michael Jan Friedman,1996,N/A,N/A,N/A,eng
The Sky Village,"Monk Ashland, Nigel Ashland",2008,N/A,N/A,N/A,eng
The wall around Eden,Joan Slonczewski,1989,N/A,N/A,N/A,eng
Prince of Sparta,Jerry Pournelle,1993,N/A,N/A,N/A,eng
The Mind Brothers,"Peter Heath, Peter Heath",1967,N/A,N/A,N/A,N/A
Bio of an ogre,Piers Anthony,1988,N/A,N/A,N/A,eng
The Crystal Crypt,"Philip K. Dick, Steven L. Stern, Nino Cajayon",2013,N/A,N/A,N/A,eng
Instant Teen,Haruka Fukushima,2004,N/A,N/A,N/A,eng
"Light Is All Around You
            
                LetsReadAndFindOut Science Stage 2 Paperback",Wendy Pfeffer,2014,N/A,N/A,N/A,eng
Clara and Clem in outer space,Ethan Long,2013,N/A,N/A,N/A,eng
Vagabonds of Gor,John Norman,1987,N/A,N/A,N/A,eng
Aliens for dinner,Stephanie Spinner,1994,N/A,N/A,N/A,eng
Star Trek Deep Space Nine - Section 31 - Abyss,"David Weddle, Jeffrey Lang",2001,N/A,N/A,N/A,"ger, eng"
